AHNS FC STATE MESSAGES LOG FOR logs/FC_States_Friday-15-10-2010-142953.log
TIME, COMMANDED_ENGINE1, COMMANDED_ENGINE2, COMMANDED_ENGINE3, COMMANDED_ENGINE4, RC_LINK, FC_UPTIME, FC_CPU
0,1072,1488,1504,1536,0,0,0
0.0107419,1072,1488,1504,1536,0,0,0
0.021667,1072,1504,1504,1520,0,0,0
0.0324399,1072,1504,1504,1520,0,0,0
0.0431209,1072,1504,1504,1520,0,0,0
0.0540469,1072,1504,1504,1520,0,0,0
0.065521,1072,1504,1504,1520,0,0,0
0.076355,1072,1504,1504,1520,0,0,0
0.0869749,1072,1504,1504,1536,0,0,0
0.098022,1088,1504,1504,1536,0,0,0
0.108948,1088,1488,1504,1536,0,0,0
0.11969,1072,1488,1504,1536,0,0,0
0.345337,1072,1504,1504,1536,0,0,0
0.356049,1072,1504,1504,1536,0,0,0
0.36676,1072,1504,1504,1536,0,0,0
0.377716,1088,1504,1504,1536,0,0,0
0.388855,1088,1488,1504,1536,0,0,0
0.39978,1088,1488,1504,1536,0,0,0
0.410614,1088,1504,1504,1536,0,0,0
0.4216,1088,1504,1504,1536,0,0,0
0.432526,1088,1504,1504,1536,0,0,0
0.443542,1072,1488,1504,1536,0,0,0
0.454651,1072,1488,1504,1536,0,0,0
0.465546,1072,1488,1504,1520,0,0,0
0.476318,1072,1488,1504,1520,0,0,0
0.48703,1088,1488,1504,1536,0,0,0
0.497742,1088,1488,1504,1536,0,0,0
0.508636,1072,1488,1504,1536,0,0,0
0.519501,1072,1488,1504,1536,0,0,0
0.530182,1072,1504,1504,1536,0,0,0
0.541138,1072,1504,1504,1536,0,0,0
0.552124,1072,1488,1504,1536,0,0,0
0.563049,1072,1488,1504,1536,0,0,0
0.573944,1072,1504,1504,1520,0,0,0
0.585266,1072,1504,1504,1520,0,0,0
0.596161,1072,1488,1504,1520,0,0,0
0.606842,1072,1488,1504,1520,0,0,0
0.617615,1072,1488,1504,1536,0,0,0
0.628632,1072,1488,1504,1536,0,0,0
0.639404,1072,1488,1504,1536,0,0,0
0.651123,1072,1488,1504,1536,0,0,0
0.661957,1072,1504,1504,1536,0,0,0
0.672821,1072,1504,1504,1536,0,0,0
0.683594,1072,1504,1504,1536,0,0,0
0.694702,1072,1504,1504,1536,0,0,0
0.705627,1088,1488,1504,1536,0,0,0
0.716492,1088,1488,1504,1536,0,0,0
0.727356,1088,1504,1504,1536,0,0,0
0.738373,1088,1504,1504,1536,0,0,0
0.74939,1072,1488,1504,1536,0,0,0
0.760132,1072,1488,1504,1536,0,0,0
0.770874,1072,1488,1504,1536,0,0,0
0.781799,1072,1488,1504,1536,0,0,0
0.79245,1072,1488,1504,1536,0,0,0
0.803101,1072,1488,1504,1536,0,0,0
0.814056,1072,1504,1488,1536,0,0,0
0.82489,1072,1504,1488,1536,0,0,0
0.835724,1072,1504,1504,1536,0,0,0
0.846619,1072,1504,1504,1536,0,0,0
0.857544,1088,1504,1504,1520,0,0,0
0.868683,1088,1504,1504,1520,0,0,0
0.879364,1088,1488,1504,1536,0,0,0
0.890198,1088,1488,1504,1536,0,0,0
0.901093,1088,1504,1504,1520,0,0,0
0.911865,1072,1504,1504,1520,0,0,0
0.922852,1072,1504,1504,1520,0,0,0
0.933746,1072,1504,1504,1520,0,0,0
0.944702,1072,1504,1504,1536,0,0,0
0.955383,1088,1504,1504,1536,0,0,0
0.966126,1088,1488,1504,1536,0,0,0
0.977051,1072,1488,1504,1536,0,0,0
0.987915,1072,1488,1504,1536,0,0,0
0.998596,1088,1488,1504,1536,0,0,0
1.00952,1088,1504,1504,1536,0,0,0
1.02045,1072,1504,1504,1536,0,0,0
1.03125,1072,1504,1504,1536,0,0,0
1.04218,1072,1504,1504,1536,0,0,0
1.05286,1072,1504,1504,1536,0,0,0
1.06384,1072,1504,1504,1536,0,0,0
1.07477,1072,1488,1504,1536,0,0,0
1.08551,1072,1488,1504,1536,0,0,0
1.09622,1072,1488,1504,1536,0,0,0
1.10715,1072,1488,1504,1536,0,0,0
1.11804,1072,1488,1504,1536,0,0,0
1.12894,1072,1488,1504,1536,0,0,0
1.13953,1072,1488,1504,1536,0,0,0
1.15048,1072,1488,1504,1536,0,0,0
1.16144,1072,1504,1504,1536,0,0,0
1.17236,1072,1504,1504,1536,0,0,0
1.18307,1072,1488,1504,1536,0,0,0
1.19397,1072,1488,1504,1504,0,0,0
1.20483,1072,1504,1504,1504,0,0,0
1.21573,1072,1504,1504,1536,0,0,0
1.22671,1072,1504,1504,1536,0,0,0
1.23718,1072,1504,1504,1520,0,0,0
1.24805,1072,1488,1504,1520,0,0,0
1.25888,1072,1488,1504,1536,0,0,0
1.2702,1072,1488,1504,1536,0,0,0
1.28095,1072,1488,1504,1536,0,0,0
1.29181,1072,1488,1504,1536,0,0,0
1.30276,1072,1504,1504,1536,0,0,0
1.31342,1072,1504,1504,1536,0,0,0
1.32434,1072,1504,1504,1536,0,0,0
1.33591,1072,1504,1504,1536,0,0,0
1.3468,1088,1504,1504,1520,0,0,0
1.3576,1088,1504,1504,1520,0,0,0
1.36859,1088,1504,1504,1536,0,0,0
1.37952,1088,1488,1504,1536,0,0,0
1.39026,1072,1488,1504,1536,0,0,0
1.40128,1072,1488,1504,1536,0,0,0
1.41211,1072,1488,1504,1536,0,0,0
1.42297,1072,1488,1504,1536,0,0,0
1.4339,1072,1488,1504,1536,0,0,0
1.44458,1072,1488,1504,1536,0,0,0
1.45535,1072,1504,1504,1520,0,0,0
1.46622,1072,1504,1504,1520,0,0,0
1.47723,1072,1488,1504,1536,0,0,0
1.48898,1072,1488,1504,1536,0,0,0
1.50021,1072,1504,1504,1536,0,0,0
1.51117,1072,1504,1504,1536,0,0,0
1.52173,1072,1504,1504,1520,0,0,0
1.53232,1072,1504,1504,1520,0,0,0
1.54297,1072,1504,1504,1520,0,0,0
1.5535,1072,1504,1504,1520,0,0,0
1.56439,1072,1488,1504,1536,0,0,0
1.57517,1072,1488,1504,1536,0,0,0
1.58588,1072,1488,1504,1536,0,0,0
1.59659,1072,1488,1504,1536,0,0,0
1.60724,1072,1488,1504,1536,0,0,0
1.6181,1088,1488,1504,1536,0,0,0
1.62958,1088,1504,1504,1520,0,0,0
1.64011,1072,1504,1504,1520,0,0,0
1.65112,1072,1504,1504,1520,0,0,0
1.66245,1072,1504,1504,1520,0,0,0
1.67374,1056,1504,1504,1520,0,0,0
1.68503,1056,1504,1504,1520,0,0,0
1.69647,1088,1504,1504,1520,0,0,0
1.70758,1088,1504,1504,1520,0,0,0
1.7186,1088,1488,1504,1520,0,0,0
