AHNS FC STATE MESSAGES LOG FOR logs/FC_States_Friday-15-10-2010-141305.log
TIME, COMMANDED_ENGINE1, COMMANDED_ENGINE2, COMMANDED_ENGINE3, COMMANDED_ENGINE4, RC_LINK, FC_UPTIME, FC_CPU
0,1328,1488,1504,1520,0,0,0
0.0109251,1328,1488,1504,1520,0,0,0
0.022033,1328,1488,1504,1520,0,0,0
0.03302,1328,1488,1504,1520,0,0,0
0.043762,1328,1488,1504,1520,0,0,0
0.0545959,1328,1488,1504,1520,0,0,0
0.06546,1328,1488,1504,1520,0,0,0
0.076385,1328,1488,1504,1520,0,0,0
0.0870361,1328,1488,1504,1520,0,0,0
0.0981441,1328,1488,1504,1520,0,0,0
0.10907,1328,1488,1504,1520,0,0,0
0.119934,1328,1504,1520,1520,0,0,0
0.488739,1328,1552,1552,1520,0,0,0
0.5,1328,1552,1568,1520,0,0,0
0.51123,1328,1552,1568,1520,0,0,0
0.522705,1328,1552,1568,1520,0,0,0
0.533996,1328,1552,1568,1520,0,0,0
0.545532,1328,1552,1552,1520,0,0,0
0.557007,1328,1568,1552,1520,0,0,0
0.568481,1328,1568,1568,1536,0,0,0
0.580108,1328,1552,1568,1536,0,0,0
0.591339,1328,1552,1568,1520,0,0,0
0.602356,1328,1552,1568,1520,0,0,0
0.613922,1328,1552,1568,1520,0,0,0
0.625427,1328,1536,1552,1520,0,0,0
0.636718,1328,1536,1552,1520,0,0,0
0.647766,1328,1536,1568,1520,0,0,0
0.658416,1328,1536,1568,1520,0,0,0
0.670288,1328,1520,1568,1520,0,0,0
0.681396,1328,1520,1552,1520,0,0,0
0.693512,1328,1520,1552,1520,0,0,0
0.705414,1328,1520,1552,1520,0,0,0
0.717346,1328,1520,1552,1520,0,0,0
0.72882,1328,1520,1552,1520,0,0,0
0.739776,1328,1504,1552,1520,0,0,0
0.751342,1328,1504,1552,1520,0,0,0
0.762726,1328,1504,1552,1520,0,0,0
0.773712,1328,1504,1552,1520,0,0,0
