AHNS AP STATE MESSAGES LOG FOR logs/AP_State_Friday-15-10-2010-141305.log
TIME, REF_PHI, REF_THETA, REF_PSI, REF_X, REF_Y, REF_Z, PHI_ACTIVE, THETA_ACTIVE, PSI_ACTIVE, X_ACTIVE, Y_ACTIVE, Z_ACTIVE
0,0,0,-16,0,0,0,0,0,0,0,0,0
0.0109251,0,0,-16,0,0,0,0,0,0,0,0,0
0.0220339,0,0,-16,0,0,0,0,0,0,0,0,0
0.03302,0,0,-16,0,0,0,0,0,0,0,0,0
0.043762,0,0,-16,0,0,0,0,0,0,0,0,0
0.0545959,0,0,-16,0,0,0,0,0,0,0,0,0
0.06546,0,0,-16,0,0,0,0,0,0,0,0,0
0.076386,0,0,-16,0,0,0,0,0,0,0,0,0
0.0870361,0,0,-16,0,0,0,0,0,0,0,0,0
0.098145,0,0,-16,0,0,0,0,0,0,0,0,0
0.10907,0,0,-16,0,0,0,0,0,0,0,0,0
0.119934,0,0,-16,0,0,0,0,0,0,0,0,0
0.48877,0,0,-16,0,0,0,0,0,0,0,0,0
0.5,0,0,-16,0,0,0,0,0,0,0,0,0
0.511231,0,0,-16,0,0,0,0,0,0,0,0,0
0.522736,0,0,-16,0,0,0,0,0,0,0,0,0
0.533997,0,0,-16,0,0,0,0,0,0,0,0,0
0.545563,0,0,-16,0,0,0,0,0,0,0,0,0
0.557007,0,0,-16,0,0,0,0,0,0,0,0,0
0.568482,0,0,-16,0,0,0,0,0,0,0,0,0
0.580139,0,0,-32,0,0,0,0,0,0,0,0,0
0.5914,0,0,-32,0,0,0,0,0,0,0,0,0
0.602356,0,0,-16,0,0,0,0,0,0,0,0,0
0.613922,0,0,-16,0,0,0,0,0,0,0,0,0
0.625427,0,0,-16,0,0,0,0,0,0,0,0,0
0.636719,0,0,-16,0,0,0,0,0,0,0,0,0
0.647766,0,0,-16,0,0,0,0,0,0,0,0,0
0.658417,0,0,-16,0,0,0,0,0,0,0,0,0
0.670288,0,0,-16,0,0,0,0,0,0,0,0,0
0.681427,0,0,-16,0,0,0,0,0,0,0,0,0
0.693512,0,0,-16,0,0,0,0,0,0,0,0,0
0.705445,0,0,-16,0,0,0,0,0,0,0,0,0
0.717346,0,0,-16,0,0,0,0,0,0,0,0,0
0.728821,0,0,-16,0,0,0,0,0,0,0,0,0
0.739777,0,0,-16,0,0,0,0,0,0,0,0,0
0.751435,0,0,-16,0,0,0,0,0,0,0,0,0
0.762726,0,0,-16,0,0,0,0,0,0,0,0,0
0.773712,0,0,-16,0,0,0,0,0,0,0,0,0
0.785614,0,0,-16,0,0,0,0,0,0,0,0,0
0.796784,0,0,-16,0,0,0,0,0,0,0,0,0
0.808228,0,0,-16,0,0,0,0,0,0,0,0,0
0.81958,0,0,-16,0,0,0,0,0,0,0,0,0
0.83078,0,0,-16,0,0,0,0,0,0,0,0,0
0.841858,0,0,-16,0,0,0,0,0,0,0,0,0
0.852631,0,0,-16,0,0,0,0,0,0,0,0,0
0.863526,0,0,-16,0,0,0,0,0,0,0,0,0
0.874207,0,0,-16,0,0,0,0,0,0,0,0,0
0.884949,0,0,-16,0,0,0,0,0,0,0,0,0
0.895813,0,0,-16,0,0,0,0,0,0,0,0,0
0.906769,0,0,-16,0,0,0,0,0,0,0,0,0
0.91745,0,0,-16,0,0,0,0,0,0,0,0,0
0.928345,0,0,-16,0,0,0,0,0,0,0,0,0
0.939179,0,0,-16,0,0,0,0,0,0,0,0,0
0.950043,0,0,-16,0,0,0,0,0,0,0,0,0
0.960907,0,0,-16,0,0,0,0,0,0,0,0,0
0.971619,0,0,-16,0,0,0,0,0,0,0,0,0
0.982605,0,0,-16,0,0,0,0,0,0,0,0,0
0.993286,0,0,0,0,0,0,0,0,0,0,0,0
1.00394,0,0,0,0,0,0,0,0,0,0,0,0
1.01471,0,0,-16,0,0,0,0,0,0,0,0,0
1.02539,0,0,-16,0,0,0,0,0,0,0,0,0
1.0361,0,0,-16,0,0,0,0,0,0,0,0,0
1.04678,0,0,-16,0,0,0,0,0,0,0,0,0
1.05765,0,0,-16,0,0,0,0,0,0,0,0,0
1.06827,0,0,-16,0,0,0,0,0,0,0,0,0
1.07922,0,0,-16,0,0,0,0,0,0,0,0,0
1.08994,0,0,-16,0,0,0,0,0,0,0,0,0
1.10086,0,0,-16,0,0,0,0,0,0,0,0,0
1.11206,0,0,-16,0,0,0,0,0,0,0,0,0
1.12296,0,0,-16,0,0,0,0,0,0,0,0,0
1.13358,0,0,-16,0,0,0,0,0,0,0,0,0
1.14441,0,0,-16,0,0,0,0,0,0,0,0,0
1.15506,0,0,-16,0,0,0,0,0,0,0,0,0
1.16681,0,0,-16,0,0,0,0,0,0,0,0,0
1.17767,0,0,-16,0,0,0,0,0,0,0,0,0
1.18829,0,0,-16,0,0,0,0,0,0,0,0,0
1.19891,0,0,-16,0,0,0,0,0,0,0,0,0
1.20956,0,0,-16,0,0,0,0,0,0,0,0,0
1.22025,0,0,-16,0,0,0,0,0,0,0,0,0
1.23105,0,0,-16,0,0,0,0,0,0,0,0,0
1.24185,0,0,-16,0,0,0,0,0,0,0,0,0
1.2525,0,0,-16,0,0,0,0,0,0,0,0,0
1.26361,0,0,-16,0,0,0,0,0,0,0,0,0
1.27423,0,0,-16,0,0,0,0,0,0,0,0,0
1.28473,0,0,-16,0,0,0,0,0,0,0,0,0
1.29532,0,0,-16,0,0,0,0,0,0,0,0,0
1.30579,0,0,-16,0,0,0,0,0,0,0,0,0
1.31659,0,0,-16,0,0,0,0,0,0,0,0,0
1.3273,0,0,-16,0,0,0,0,0,0,0,0,0
1.33798,0,0,-16,0,0,0,0,0,0,0,0,0
1.34866,0,0,-16,0,0,0,0,0,0,0,0,0
1.35934,0,0,-16,0,0,0,0,0,0,0,0,0
1.37006,0,0,-16,0,0,0,0,0,0,0,0,0
1.38071,0,0,-16,0,0,0,0,0,0,0,0,0
1.39142,0,0,-16,0,0,0,0,0,0,0,0,0
1.40274,0,0,-16,0,0,0,0,0,0,0,0,0
1.41431,0,0,-16,0,0,0,0,0,0,0,0,0
1.42532,0,0,-16,0,0,0,0,0,0,0,0,0
1.43692,0,0,-16,0,0,0,0,0,0,0,0,0
1.4476,0,0,-32,0,0,0,0,0,0,0,0,0
1.45834,0,0,-32,0,0,0,0,0,0,0,0,0
1.4696,0,0,-32,0,0,0,0,0,0,0,0,0
1.48053,0,0,-16,0,0,0,0,0,0,0,0,0
1.49213,0,0,-16,0,0,0,0,0,0,0,0,0
1.50327,0,0,0,0,0,0,0,0,0,0,0,0
1.51462,0,0,0,0,0,0,0,0,0,0,0,0
1.52582,0,0,-16,0,0,0,0,0,0,0,0,0
1.5368,0,0,-16,0,0,0,0,0,0,0,0,0
1.54797,0,0,-16,0,0,0,0,0,0,0,0,0
1.5593,0,0,-16,0,0,0,0,0,0,0,0,0
1.57047,0,0,-16,0,0,0,0,0,0,0,0,0
1.58167,0,0,-16,0,0,0,0,0,0,0,0,0
1.59293,0,0,-16,0,0,0,0,0,0,0,0,0
1.604,0,0,-16,0,0,0,0,0,0,0,0,0
1.61566,0,0,-16,0,0,0,0,0,0,0,0,0
1.62701,0,0,-16,0,0,0,0,0,0,0,0,0
1.63812,0,0,-16,0,0,0,0,0,0,0,0,0
1.64938,0,0,-16,0,0,0,0,0,0,0,0,0
1.66055,0,0,-16,0,0,0,0,0,0,0,0,0
