AHNS STATE MESSAGES LOG FOR logs/Filtered_States_Friday-15-10-2010-142953.log
TIME, F_PHI, F_PHI_DOT, F_THETA, F_THETA_DOT, F_PSI, F_PSI_DOT, F_X, F_X_DOT, F_AX, F_Y, F_Y_DOT, F_AY, F_Z, F_Z_DOT, F_AZ, VOLTAGE
0,0,0,0,0,3.59359,0,0,0,0,0,0,0,0.196096,0.144415,0,11.631
0.0107431,0,0,0,0,3.59357,0,0,0,0,0,0,0,0.196096,0,0,11.631
0.021668,0,0,0,0,3.59354,0,0,0,0,0,0,0,0.196096,0,0,11.631
0.0324411,0,0,0,0,3.59352,0,0,0,0,0,0,0,0.196096,0,0,11.631
0.0431221,0,0,0,0,3.59349,0,0,0,0,0,0,0,0.196096,0,0,11.631
0.0540471,0,0,0,0,3.59347,0,0,0,0,0,0,0,0.19854,0.223619,0,11.642
0.065522,0,0,0,0,3.59344,0,0,0,0,0,0,0,0.19854,0,0,11.642
0.076355,0,0,0,0,3.59342,0,0,0,0,0,0,0,0.197942,-0.0550227,0,11.642
0.0869761,0,0,0,0,3.59339,0,0,0,0,0,0,0,0.204946,0.641116,0,11.639
0.0980229,0,0,0,0,3.59337,0,0,0,0,0,0,0,0.2011,-0.353025,0,11.642
0.108948,0,0,0,0,3.59334,0,0,0,0,0,0,0,0.193743,-0.67532,0,11.636
0.11969,0,0,0,0,3.59331,0,0,0,0,0,0,0,0.188791,-0.45835,0,11.636
0.345337,0,0,0,0,3.5925,0,0,0,0,0,0,0,0.189631,0.0984436,0,11.631
0.35608,0,0,0,0,3.59245,0,0,0,0,0,0,0,0.188747,-0.0807056,0,11.628
0.366761,0,0,0,0,3.59241,0,0,0,0,0,0,0,0.188747,0,0,11.628
0.377716,0,0,0,0,3.59237,0,0,0,0,0,0,0,0.189815,0.099952,0,11.636
0.388886,0,0,0,0,3.59235,0,0,0,0,0,0,0,0.189815,0,0,11.636
0.399781,0,0,0,0,3.59232,0,0,0,0,0,0,0,0.189815,0,0,11.636
