AHNS STATE MESSAGES LOG FOR logs/Filtered_States_Wednesday-06-10-2010-071053.log
TIME, F_PHI, F_PHI_DOT, F_THETA, F_THETA_DOT, F_PSI, F_PSI_DOT, F_X, F_X_DOT, F_AX, F_Y, F_Y_DOT, F_AY, F_Z, F_Z_DOT, F_AZ, VOLTAGE
2.14725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.15811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.16928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.18008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.19092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.20175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.21258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.23349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.24393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.25439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.26483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.27573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.28659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.29748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.31891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.32953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.34094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.35159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.36218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.37302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.38391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.39471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.40564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.41653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.42737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.43826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.45953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.47034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.48077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.49121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.50162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.51269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.52383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.53467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.54575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.55661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.56863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.57925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.59006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.60086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.61172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.62253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.63336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.64416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.65521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.66602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.67721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.68802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.69885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.70941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.72021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.73141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.74219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.75305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.76389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.77472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.78622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.79703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.80829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.8403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.85074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.86111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.87201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.88287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.89365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.91513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.92584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.93671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.94727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.95764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.96796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.97845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.98889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.99963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.01068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.02112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.03159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.04205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.05252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.06308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.07364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.08423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.09503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.10583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.11652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
